,Tweet,Created_at,Positive,Negative,Neutral,Currencies,Tweeted_day_Open,Tweeted_day_High,Tweeted_day_Low,Tweeted_day_Close,Tweeted_day_Volume,Prev_30days_Open,Prev_30days_High,Prev_30days_Low,Prev_30days_Close,Prev_30days_Volume,Next_7days_Open,Next_7days_High,Next_7days_Low,Next_7days_Close,Next_7days_Volume,Next_30days_Open,Next_30days_High,Next_30days_Low,Next_30days_Close,Next_30days_Volume,Prev_25days_Open,Prev_25days_High,Prev_25days_Low,Prev_25days_Close,Prev_25days_Volume,Next_25days_Open,Next_25days_High,Next_25days_Low,Next_25days_Close,Next_25days_Volume
0,"Send.exe

Gn $FET https://t.co/CBgLXpcIEH https://t.co/cpHMXlC4Le",2023-08-13T21:10:14.000Z,0.355,0.0,0.645,FET,0.20043300092220306,0.2216459959745407,0.19988399744033813,0.2195030003786087,41651294,0.2333970069885254,0.25478601455688477,0.2288299947977066,0.237295001745224,70646334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2252500057220459,0.23025499284267426,0.22465300559997559,0.22529299557209015,25540418,0,0,0,0,0
1,"The previous pump on #AI coins was Just a test pump. The real one will be massive 

Position yourself $FET $OCEAN 

$fet looks like its printing a bottom here. https://t.co/5apV3ZtABm",2023-08-13T19:02:22.000Z,0.085,0.0,0.915,OCEAN,0.3397490084171295,0.3445090055465698,0.33753299713134766,0.33942899107933044,10439962,0.3761569857597351,0.3945940136909485,0.36094000935554504,0.371753990650177,34753224,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.39081400632858276,0.39871498942375183,0.3812029957771301,0.38386499881744385,23399310,0,0,0,0,0
2,"The previous pump on #AI coins was Just a test pump. The real one will be massive 

Position yourself $FET $OCEAN 

$fet looks like its printing a bottom here. https://t.co/5apV3ZtABm",2023-08-13T19:02:22.000Z,0.085,0.0,0.915,FET,0.20043300092220306,0.2216459959745407,0.19988399744033813,0.2195030003786087,41651294,0.2333970069885254,0.25478601455688477,0.2288299947977066,0.237295001745224,70646334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2252500057220459,0.23025499284267426,0.22465300559997559,0.22529299557209015,25540418,0,0,0,0,0
3,"$fet had a great run towards 0.60. 
Ratraced. And i think it marks a bottom here.

Anything below 0.20 is a buy.
Sell peak bullrun $5 + https://t.co/eB7SG3riLU",2023-08-13T14:33:00.000Z,0.157,0.0,0.843,FET,0.20043300092220306,0.2216459959745407,0.19988399744033813,0.2195030003786087,41651294,0.2333970069885254,0.25478601455688477,0.2288299947977066,0.237295001745224,70646334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2252500057220459,0.23025499284267426,0.22465300559997559,0.22529299557209015,25540418,0,0,0,0,0
4,"$Inj Will pull a $sol run like we seen in 2020 

And many are not ready for it.

Pay attention to all the things being build on @Injective_  and all the #NFTs launching there.

Few understand its potential. https://t.co/7j4GY3dZW6",2023-08-13T14:05:44.000Z,0.061,0.086,0.853,SOL,24.905216217041016,24.91316032409668,24.236482620239258,24.24288558959961,263449955,26.02075958251953,30.057695388793945,25.434978485107422,26.7357177734375,2184090884,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25.55088233947754,26.922088623046875,25.418062210083008,26.372352600097656,603189951,0,0,0,0,0
5,"$Inj Will pull a $sol run like we seen in 2020 

And many are not ready for it.

Pay attention to all the things being build on @Injective_  and all the #NFTs launching there.

Few understand its potential. https://t.co/7j4GY3dZW6",2023-08-13T14:05:44.000Z,0.061,0.086,0.853,INJ,7.663403034210205,7.739165782928467,7.5920867919921875,7.702278137207031,17161156,8.770755767822266,9.829959869384766,8.675237655639648,9.43754768371582,147002371,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8.912936210632324,9.208966255187988,8.881417274475098,8.97421932220459,35142169,0,0,0,0,0
6,"$doge moving 

Eyes on $mask $dc",2023-08-12T10:04:10.000Z,0.0,0.0,1.0,MASK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
7,"$doge moving 

Eyes on $mask $dc",2023-08-12T10:04:10.000Z,0.0,0.0,1.0,DOGE,0.0756710022687912,0.07715000212192535,0.07560200244188309,0.07674200087785721,301476614,0.06507299840450287,0.07126700133085251,0.06467500329017639,0.0705069974064827,625261655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0699009969830513,0.07025700062513351,0.06774300336837769,0.06858299672603607,284882933,0,0,0,0,0
8,"$doge moving 

Eyes on $mask $dc",2023-08-12T10:04:10.000Z,0.0,0.0,1.0,DC,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
9,"Up x 6 within 2 weeks

Build dif $PAAL
🤘🤎

Stay tuned for the next. https://t.co/gmXbVJKSXG https://t.co/QdST9PHSWJ",2023-08-11T18:50:32.000Z,0.0,0.0,1.0,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
